Q_TotalDuration,Sc3_C1_text,sc3_c1_compensation,sc3_c1_text3,sc3_c1_regret,Sc3_C2_text,sc3_c2_compensation,sc3_c2_text3,sc3_c2_regret,Sc3_C3_text,sc3_c3_compensation,sc3_c3_text3,sc3_c3_regret,age,gender
109,1,7,1,2, , , , , , , , ,24,1
154,1,11,1,4, , , , , , , , ,51,1
138, , , , ,1,2,1,4, , , , ,32,1
55, , , , ,1,6,1,3, , , , ,31,1
150, , , , , , , , ,1,11,1,4,29,2
179, , , , , , , , ,1,11,1,3,50,1
192, , , , , , , , ,1,1,1,4,30,2
234,1,8,1,4, , , , , , , , ,59,1
209,1,6,1,3, , , , , , , , ,29,2
65, , , , , , , , ,1,3,1,4,26,1
128, , , , ,1,3,1,3, , , , ,30,2
123, , , , , , , , ,1,3,1,3,47,2
132,1,2,1,4, , , , , , , , ,28,2
330, , , , ,1,2,1,4, , , , ,21,1
155, , , , ,1,11,1,4, , , , ,28,1
290,1,5,1,2, , , , , , , , ,33,1
253, , , , ,1,2,1,3, , , , ,26,1
121, , , , , , , , ,1,6,1,4,30,2
333, , , , , , , , ,1,11,1,3,35,2
206,1,6,1,2, , , , , , , , ,26,1
240, , , , ,1,4,1,4, , , , ,34,1
183, , , , , , , , ,1,11,1,4,65,2
259,1,1,1,4, , , , , , , , ,67,2
128,1,5,1,3, , , , , , , , ,31,2
94, , , , ,1,6,1,2, , , , ,32,2
213, , , , ,1,2,1,2, , , , ,53,1
214, , , , , , , , ,1,7,1,3,61,2
270, , , , , , , , ,1,11,1,2,28,1
128, , , , , , , , ,1,11,1,0,32,1
191,1,6,1,4, , , , , , , , ,28,1
194, , , , ,1,6,1,4, , , , ,58,2
199,1,3,1,4, , , , , , , , ,27,2
123, , , , , , , , ,1,11,1,4,45,1
95,1,2,1,4, , , , , , , , ,28,2
390, , , , ,1,11,1,4, , , , ,45,2
134, , , , , , , , ,1,4,1,3,38,2
194, , , , , , , , ,1,6,1,2,28,1
282,1,2,1,2, , , , , , , , ,26,2
96, , , , ,1,6,1,4, , , , ,23,1
194,1,8,1,4, , , , , , , , ,29,2
273,1,4,1,4, , , , , , , , ,24,2
197, , , , , , , , ,1,2,1,4,37,2
220,1,4,1,4, , , , , , , , ,29,1
74, , , , ,1,11,1,4, , , , ,29,2
113, , , , , , , , ,1,6,1,3,76,1
612, , , , , , , , ,1,1,1,4,49,1
137,1,6,1,1, , , , , , , , ,45,2
195, , , , , , , , ,1,6,1,4,67,2
293, , , , ,1,6,1,4, , , , ,70,1
228, , , , ,1,6,1,4, , , , ,49,1
160, , , , , , , , ,1,8,1,3,32,2
78, , , , ,1,11,1,4, , , , ,35,1
412,1,5,1,4, , , , , , , , ,38,2
204,1,4,1,4, , , , , , , , ,29,2
164, , , , ,1,3,1,4, , , , ,42,2
121, , , , , , , , ,1,11,1,4,34,1
244,1,11,1,4, , , , , , , , ,55,2
361, , , , , , , , ,1,11,1,0,49,2
180,1,1,1,0, , , , , , , , ,48,1
231, , , , ,1,2,1,1, , , , ,65,2
102,1,3,1,2, , , , , , , , ,23,2
91, , , , ,1,1,1,4, , , , ,26,1
159, , , , , , , , ,1,6,1,4,43,2
136, , , , , , , , ,1,3,1,4,35,2
137,1,11,1,4, , , , , , , , ,26,1
73,1,6,1,4, , , , , , , , ,32,1
99,1,6,1,3, , , , , , , , ,25,2
324, , , , , , , , ,1,2,1,4,32,1
329, , , , ,1,6,1,4, , , , ,42,2
493, , , , ,1,11,1,3, , , , ,28,2
475, , , , , , , , ,1,11,1,3,62,1
141, , , , , , , , ,1,8,1,2,32,1
65, , , , ,1,11,1,4, , , , ,35,1
166,1,6,1,2, , , , , , , , ,31,1
170, , , , , , , , ,1,8,1,3,33,1
117, , , , ,1,6,1,4, , , , ,36,2
117, , , , ,1,11,1,4, , , , ,49,1
135,1,6,1,2, , , , , , , , ,66,1
273,1,6,1,4, , , , , , , , ,80,2
273, , , , , , , , ,1,4,1,4,57,2
147, , , , , , , , ,1,6,1,4,58,2
294,1,2,1,3, , , , , , , , ,61,1
143, , , , ,1,11,1,4, , , , ,35,1
141, , , , ,1,6,1,4, , , , ,28,1
266, , , , , , , , ,1,11,1,4,70,2
184,1,11,1,3, , , , , , , , ,31,1
142, , , , ,1,11,1,4, , , , ,52,1
89,1,5,1,2, , , , , , , , ,30,1
320, , , , , , , , ,1,7,1,4,33,2
138, , , , , , , , ,1,6,1,4,56,1
176,1,11,1,3, , , , , , , , ,58,2
300, , , , ,1,11,1,0, , , , ,50,2
157, , , , , , , , ,1,6,1,4,61,2
174,1,6,1,2, , , , , , , , ,44,2
160, , , , ,1,1,1,3, , , , ,51,1
196, , , , ,1,6,1,2, , , , ,37,1
246, , , , , , , , ,1,6,1,4,29,1
140,1,2,1,2, , , , , , , , ,27,2
181,1,3,1,3, , , , , , , , ,27,2
154, , , , , , , , ,1,11,1,4,22,2
281, , , , ,1,2,1,4, , , , ,34,2
267, , , , , , , , ,1,10,1,4,23,2
227,1,6,1,3, , , , , , , , ,26,1
452, , , , , , , , ,1,6,1,4,37,2
123,1,3,1,3, , , , , , , , ,65,2
106, , , , ,1,6,1,4, , , , ,22,2
129, , , , , , , , ,1,3,1,4,38,2
235,1,6,1,2, , , , , , , , ,56,2
250, , , , ,1,6,1,4, , , , ,38,1
246, , , , , , , , ,1,2,1,2,34,2
130, , , , ,1,11,1,4, , , , ,53,1
86,1,8,1,4, , , , , , , , ,30,2
125, , , , , , , , ,1,6,1,4,35,2
271,1,1,1,4, , , , , , , , ,47,2
97,1,11,1,3, , , , , , , , ,43,1
254, , , , ,1,1,1,4, , , , ,53,2
119, , , , , , , , ,1,7,1,4,35,2
148,1,6,1,3, , , , , , , , ,55,2
452, , , , ,1,11,1,4, , , , ,66,2
115, , , , , , , , ,1,4,1,3,42,1
379, , , , ,1,11,1,3, , , , ,55,1
172,1,2,1,2, , , , , , , , ,40,2
164, , , , ,1,8,1,4, , , , ,38,2
305, , , , , , , , ,1,11,1,3,66,2
97, , , , ,1,3,1,4, , , , ,42,2
294,1,5,1,4, , , , , , , , ,57,2
259, , , , , , , , ,1,1,1,4,52,2
179, , , , , , , , ,1,5,1,3,31,1
140,1,6,1,4, , , , , , , , ,41,2
177, , , , ,1,4,1,4, , , , ,27,2
135, , , , ,1,6,1,4, , , , ,47,2
275, , , , , , , , ,1,11,1,3,54,2
113,1,6,1,4, , , , , , , , ,55,2
249, , , , ,1,1,1,2, , , , ,33,1
0, , , , , , , , , , , , , , 
214,1,11,1,4, , , , , , , , ,48,2
74, , , , , , , , ,1,2,1,4,32,2
49,1,6,1,3, , , , , , , , ,31,2
147, , , , , , , , ,1,11,1,4,31,1
309, , , , ,1,1,1,3, , , , ,44,1
202, , , , ,1,11,1,4, , , , ,44,2
113, , , , , , , , ,1,2,1,4,36,1
123,1,5,1,3, , , , , , , , ,31,1
270, , , , , , , , ,1,2,1,3,32,2
180, , , , ,1,2,1,4, , , , ,34,2
269,1,11,1,3, , , , , , , , ,57,2
85,1,11,1,4, , , , , , , , ,27,1
145, , , , , , , , ,1,6,1,3,27,2
69, , , , ,1,3,1,4, , , , ,22,2
168, , , , , , , , ,1,9,1,4,64,2
347,1,4,1,4, , , , , , , , ,26,2
74, , , , , , , , ,1,1,1,4,31,1
171, , , , ,1,6,1,4, , , , ,55,2
376, , , , ,1,3,1,4, , , , ,60,2
140,1,9,1,2, , , , , , , , ,33,2
133,1,8,1,4, , , , , , , , ,38,2
362, , , , ,1,4,1,3, , , , ,49,1
179, , , , , , , , ,1,11,1,4,29,2
116, , , , ,1,8,1,4, , , , ,35,2
186, , , , , , , , ,1,6,1,4,33,2
304,1,1,1,4, , , , , , , , ,57,2
163, , , , ,1,6,1,4, , , , ,33,2
150,1,11,1,4, , , , , , , , ,41,1
170, , , , , , , , ,1,6,1,4,34,1
143,1,6,1,3, , , , , , , , ,33,2
209, , , , ,1,11,1,4, , , , ,49,1
198, , , , , , , , ,1,11,1,4,69,2
175, , , , ,1,6,1,4, , , , ,52,2
262, , , , , , , , ,1,5,1,2,82,2
85,1,2,1,2, , , , , , , , ,35,2
309,1,11,1,4, , , , , , , , ,49,1
165, , , , ,1,2,1,4, , , , ,40,2
159, , , , , , , , ,1,2,1,3,44,2
268,1,11,1,4, , , , , , , , ,35,1
167, , , , , , , , ,1,3,1,3,54,1
181,1,4,1,4, , , , , , , , ,32,1
264, , , , ,1,11,1,3, , , , ,29,2
114, , , , ,1,3,1,4, , , , ,21,1
129, , , , ,1,6,1,3, , , , ,22,1
851, , , , , , , , ,1,1,1,4,45,1
282,1,6,1,1, , , , , , , , ,37,1
217, , , , , , , , ,1,6,1,3,66,1
158, , , , ,1,3,1,3, , , , ,29,2
129,1,3,1,3, , , , , , , , ,38,2
375, , , , , , , , ,1,2,1,3,41,1
312, , , , , , , , ,1,3,1,4,59,2
159, , , , ,1,11,1,4, , , , ,55,2
265,1,1,1,1, , , , , , , , ,51,1
188,1,3,1,2, , , , , , , , ,55,2
216, , , , ,1,9,1,3, , , , ,42,2
283, , , , , , , , ,1,2,1,3,45,1
114, , , , , , , , ,1,2,1,4,22,2
100,1,2,1,4, , , , , , , , ,46,2
204, , , , ,1,2,1,4, , , , ,61,2
149,1,11,1,4, , , , , , , , ,34,2
215, , , , ,1,6,1,4, , , , ,56,2
148, , , , , , , , ,1,1,1,4,37,2
131, , , , , , , , ,1,6,1,3,46,1
0, , , , , , , , , , , , , , 
185, , , , ,1,11,1,4, , , , ,52,2
163,1,2,1,4, , , , , , , , ,26,1
199,1,1,1,2, , , , , , , , ,34,2
211, , , , ,1,6,1,4, , , , ,34,2
256, , , , , , , , ,1,5,1,4,43,2
207,1,11,1,4, , , , , , , , ,35,2
141, , , , ,1,7,1,4, , , , ,24,2
400, , , , , , , , ,1,6,1,3,58,2
164, , , , , , , , ,1,11,1,0,43,1
290,1,11,1,4, , , , , , , , ,50,2
381, , , , ,1,8,1,4, , , , ,67,2
182, , , , , , , , ,1,5,1,4,48,2
105, , , , ,1,11,1,4, , , , ,38,2
124,1,5,1,4, , , , , , , , ,32,2
228, , , , ,1,1,1,4, , , , ,39,1
228, , , , , , , , ,1,6,1,2,25,2
168,1,11,1,3, , , , , , , , ,34,1
157, , , , ,1,3,1,3, , , , ,28,2
156, , , , , , , , ,1,2,1,1,49,1
152,1,11,1,0, , , , , , , , ,53,2
217, , , , , , , , ,1,6,1,4,38,1
248,1,6,1,4, , , , , , , , ,47,2
181, , , , ,1,2,1,4, , , , ,64,2
284, , , , ,1,11,1,4, , , , ,60,1
110, , , , , , , , ,1,11,1,4,56,2
170, , , , , , , , ,1,11,1,1,28,1
139,1,1,1,0, , , , , , , , ,35,1
155, , , , , , , , ,1,11,1,4,35,2
73, , , , ,1,3,1,3, , , , ,27,1
102, , , , , , , , ,1,6,1,4,33,2
184,1,6,1,1, , , , , , , , ,36,1
363, , , , ,1,3,1,4, , , , ,25,2
506,1,1,1,1, , , , , , , , ,45,2
195, , , , ,1,11,1,4, , , , ,38,2
100, , , , , , , , ,1,2,1,2,26,2
205,1,2,1,2, , , , , , , , ,33,2
175, , , , , , , , ,1,3,1,3,44,1
180, , , , ,1,11,1,4, , , , ,31,1
331,1,7,1,4, , , , , , , , ,40,2
156,1,1,1,2, , , , , , , , ,30,2
192, , , , ,1,4,1,3, , , , ,28,2
152, , , , , , , , ,1,11,1,4,33,2
249, , , , ,1,6,1,4, , , , ,49,2
294, , , , , , , , ,1,2,1,4,33,2
117,1,3,1,4, , , , , , , , ,29,2
211,1,1,1,3, , , , , , , , ,37,2
176, , , , ,1,6,1,4, , , , ,46,1
168, , , , , , , , ,1,11,1,4,32,2
373, , , , , , , , ,1,8,1,2,44,1
223, , , , ,1,11,1,4, , , , ,39,2
275,1,3,1,4, , , , , , , , ,35,1
137, , , , , , , , ,1,3,1,4,24,1
322,1,6,1,0, , , , , , , , ,29,2
139, , , , ,1,6,1,4, , , , ,27,2
235, , , , ,1,1,1,4, , , , ,50,2
223,1,4,1,2, , , , , , , , ,28,2
169, , , , , , , , ,1,2,1,4,32,2
154, , , , ,1,6,1,4, , , , ,27,2
168,1,11,1,4, , , , , , , , ,27,1
168, , , , , , , , ,1,11,1,4,48,2
152, , , , ,1,11,1,4, , , , ,32,1
139,1,1,1,3, , , , , , , , ,36,2
568, , , , , , , , ,1,11,1,0,70,2
179, , , , , , , , ,1,6,1,4,44,2
150, , , , ,1,1,1,4, , , , ,56,2
119,1,6,1,3, , , , , , , , ,39,2
92, , , , , , , , ,1,4,1,4,46,2
188,1,1,1,4, , , , , , , , ,35,1
141, , , , ,1,11,1,4, , , , ,29,2
84,1,7,1,2, , , , , , , , ,24,2
212, , , , , , , , ,1,5,1,3,29,2
105, , , , ,1,11,1,4, , , , ,38,1
84,1,11,1,4, , , , , , , , ,31,2
239, , , , , , , , ,1,3,1,2,67,2
106, , , , ,1,9,1,4, , , , ,37,2
60,1,7,1,2, , , , , , , , ,25,1
78, , , , , , , , ,1,11,1,4,22,1
114, , , , ,1,6,1,4, , , , ,29,1
116,1,9,1,0, , , , , , , , ,29,2
170, , , , , , , , ,1,1,1,3,32,2
248, , , , ,1,4,1,4, , , , ,28,2
285, , , , ,1,1,1,4, , , , ,51,2
141,1,6,1,2, , , , , , , , ,21,1
144, , , , , , , , ,1,2,1,4,28,2
139, , , , ,1,4,1,4, , , , ,38,2
186,1,7,1,4, , , , , , , , ,29,2
528, , , , , , , , ,1,3,1,4,43,2
253, , , , , , , , ,1,3,1,4,37,2
137,1,2,1,2, , , , , , , , ,35,1
161, , , , ,1,1,1,4, , , , ,67,1
152, , , , , , , , ,1,6,1,4,34,2
193, , , , ,1,1,1,4, , , , ,65,1
192,1,9,1,3, , , , , , , , ,30,2
169,1,11,1,4, , , , , , , , ,35,2
364, , , , , , , , ,1,11,1,4,65,2
176, , , , ,1,4,1,4, , , , ,29,2
185, , , , ,1,6,1,4, , , , ,23,2
283,1,6,1,2, , , , , , , , ,54,2
82,1,2,1,4, , , , , , , , ,28,2
263, , , , , , , , ,1,6,1,4,35,2
87, , , , , , , , ,1,1,1,3,30,1
116, , , , ,1,6,1,4, , , , ,44,2
267, , , , ,1,6,1,4, , , , ,31,2
165, , , , , , , , ,1,2,1,3,35,2
195,1,8,1,4, , , , , , , , ,60,1
113,1,11,1,4, , , , , , , , ,33,2
255, , , , , , , , ,1,1,1,4,41,2
296, , , , ,1,11,1,4, , , , ,48,2
535, , , , ,1,6,1,4, , , , ,51,2
246,1,6,1,4, , , , , , , , ,43,2
153, , , , , , , , ,1,3,1,4,22,1
91, , , , ,1,6,1,4, , , , ,27,1
377,1,1,1,2, , , , , , , , ,69,2
241, , , , , , , , ,1,11,1,2,37,2
180, , , , ,1,6,1,4, , , , ,46,2
371,1,6,1,2, , , , , , , , ,36,1
257, , , , , , , , ,1,1,1,2,30,1
208, , , , , , , , ,1,11,1,3,46,1
106,1,3,1,4, , , , , , , , ,32,1
129, , , , ,1,3,1,4, , , , ,34,2
69, , , , ,1,6,1,4, , , , ,30,2
212, , , , , , , , ,1,1,1,4,42,1
212,1,11,1,4, , , , , , , , ,25,1
141,1,2,1,0, , , , , , , , ,41,2
186, , , , , , , , ,1,11,1,3,35,2
251, , , , ,1,2,1,3, , , , ,25,2
365, , , , , , , , ,1,11,1,3,54,2
191,1,11,1,4, , , , , , , , ,57,2
256, , , , ,1,6,1,4, , , , ,27,1
217, , , , ,1,2,1,4, , , , ,38,1
95,1,11,1,4, , , , , , , , ,36,2
261, , , , , , , , ,1,11,1,4,37,2
147,1,6,1,2, , , , , , , , ,38,2
214, , , , ,1,2,1,3, , , , ,45,1
254, , , , , , , , ,1,4,1,4,58,2
195, , , , ,1,6,1,3, , , , ,55,2
557,1,5,1,3, , , , , , , , ,65,2
122, , , , , , , , ,1,1,1,3,38,2
71, , , , , , , , ,1,6,1,2,39,1
150, , , , ,1,4,1,3, , , , ,34,2
121,1,1,1,4, , , , , , , , ,29,1
220,1,3,1,1, , , , , , , , ,37,1
141, , , , ,1,2,1,4, , , , ,31,1
108, , , , , , , , ,1,4,1,4,21,1
97,1,4,1,1, , , , , , , , ,26,1
